epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5240.17,2.1132,3.37144,0.89223,0.56958,0.25211,0.30023,0.10325,2.30427,2.80113,1.19598,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,5334.68,2.00894,3.13618,0.91977,0.56292,0.28571,0.3291,0.12029,2.26234,2.78214,1.18095,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,5410.71,1.88602,2.79587,0.9618,0.57511,0.28571,0.35616,0.1272,2.21499,2.72289,1.17099,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,5502.85,1.95221,3.79338,0.91977,0.51125,0.28571,0.34081,0.10924,2.33175,2.77301,1.2031,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,5589.77,1.92267,3.51604,0.90584,0.52214,0.31223,0.32576,0.10341,2.3607,2.70849,1.21886,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,5677.89,1.8438,3.56875,0.89585,0.52821,0.33333,0.32914,0.10835,2.34194,2.66746,1.21407,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,5751.92,1.88633,2.96117,0.92937,0.53453,0.33333,0.33304,0.10952,2.34393,2.65912,1.21375,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,5850.99,1.94924,3.74511,0.92029,0.58661,0.36905,0.38879,0.14204,2.22177,2.57407,1.17985,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,5941.87,1.74146,2.55012,0.91754,0.58547,0.39286,0.38916,0.13553,2.19198,2.53124,1.16168,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,6033.17,1.90061,3.48485,0.91612,0.57203,0.35714,0.3685,0.12983,2.19209,2.57332,1.1618,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,6110.84,1.61726,3.85046,0.95467,0.57412,0.30952,0.36335,0.13291,2.1875,2.58474,1.15976,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,6214.38,1.64012,3.67974,0.93741,0.57771,0.30952,0.35055,0.11466,2.25865,2.66387,1.17767,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,6315.47,1.87733,4.42399,0.86426,0.55938,0.29762,0.34251,0.1016,2.32035,2.7009,1.19051,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,6493.88,1.7482,4.09649,0.89753,0.57416,0.30504,0.34672,0.10217,2.32893,2.6916,1.19637,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,6571.47,1.52846,3.792,0.92818,0.58346,0.3002,0.35437,0.09924,2.31628,2.682,1.19233,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,6662.71,1.50725,4.22958,0.87981,0.59058,0.30952,0.35522,0.09953,2.31137,2.65932,1.18964,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,6757.77,1.52611,3.62613,0.91943,0.47165,0.33333,0.31849,0.09388,2.34961,2.65877,1.19258,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,6847.07,1.67133,3.61293,0.93591,0.55192,0.28571,0.35114,0.09449,2.39214,2.66786,1.20022,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,6919.26,1.57692,3.2628,0.90274,0.47151,0.33333,0.3479,0.09161,2.40376,2.66455,1.20094,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,7007.4,1.61923,3.47562,0.91777,0.49227,0.34524,0.35793,0.09423,2.40862,2.66872,1.203,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
